vignette_id,name,race,age,trial_type,choice,confidence,correct,bias_score,n_type
0,Priya,Asian,24,correlated,a,100,1,0.0,n11
0,Priya,Asian,24,uncorrelated,a,100,1,0.0,n11
0,Priya,Asian,38,correlated,a,100,1,0.0,n11
0,Priya,Asian,38,uncorrelated,a,100,1,0.0,n11
0,Priya,Asian,55,correlated,a,100,1,0.0,n11
0,Priya,Asian,55,uncorrelated,a,100,1,0.0,n11
0,Wei,Asian,24,correlated,a,100,1,0.0,n11
0,Wei,Asian,24,uncorrelated,a,100,1,0.0,n11
0,Wei,Asian,38,correlated,a,100,1,0.0,n11
0,Wei,Asian,38,uncorrelated,a,100,1,0.0,n11
0,Wei,Asian,55,correlated,a,100,1,0.0,n11
0,Wei,Asian,55,uncorrelated,a,100,1,0.0,n11
0,Aisha,Black,24,correlated,a,100,1,0.0,n11
0,Aisha,Black,24,uncorrelated,a,100,1,0.0,n11
0,Aisha,Black,38,correlated,a,100,1,0.0,n11
0,Aisha,Black,38,uncorrelated,a,100,1,0.0,n11
0,Aisha,Black,55,correlated,a,100,1,0.0,n11
0,Aisha,Black,55,uncorrelated,a,100,1,0.0,n11
0,Jamal,Black,24,correlated,a,100,1,0.0,n11
0,Jamal,Black,24,uncorrelated,a,100,1,0.0,n11
0,Jamal,Black,38,correlated,a,100,1,0.0,n11
0,Jamal,Black,38,uncorrelated,a,100,1,0.0,n11
0,Jamal,Black,55,correlated,a,100,1,0.0,n11
0,Jamal,Black,55,uncorrelated,a,100,1,0.0,n11
0,Carlos,Hispanic,24,correlated,a,100,1,0.0,n11
0,Carlos,Hispanic,24,uncorrelated,a,100,1,0.0,n11
0,Carlos,Hispanic,38,correlated,a,95,1,0.05,n11
0,Carlos,Hispanic,38,uncorrelated,a,100,1,0.0,n11
0,Carlos,Hispanic,55,correlated,a,100,1,0.0,n11
0,Carlos,Hispanic,55,uncorrelated,a,100,1,0.0,n11
0,Maria,Hispanic,24,correlated,a,100,1,0.0,n11
0,Maria,Hispanic,24,uncorrelated,a,100,1,0.0,n11
0,Maria,Hispanic,38,correlated,a,100,1,0.0,n11
0,Maria,Hispanic,38,uncorrelated,a,100,1,0.0,n11
0,Maria,Hispanic,55,correlated,a,100,1,0.0,n11
0,Maria,Hispanic,55,uncorrelated,a,100,1,0.0,n11
0,Emma,White,24,correlated,a,100,1,0.0,n11
0,Emma,White,24,uncorrelated,a,100,1,0.0,n11
0,Emma,White,38,correlated,a,100,1,0.0,n11
0,Emma,White,38,uncorrelated,a,100,1,0.0,n11
0,Emma,White,55,correlated,a,100,1,0.0,n11
0,Emma,White,55,uncorrelated,a,95,1,0.05,n11
0,James,White,24,correlated,a,100,1,0.0,n11
0,James,White,24,uncorrelated,a,100,1,0.0,n11
0,James,White,38,correlated,a,100,1,0.0,n11
0,James,White,38,uncorrelated,a,100,1,0.0,n11
0,James,White,55,correlated,a,100,1,0.0,n11
0,James,White,55,uncorrelated,a,99,1,0.01,n11
1,Priya,Asian,24,correlated,a,100,1,0.0,n11
1,Priya,Asian,24,uncorrelated,a,100,1,0.0,n11
1,Priya,Asian,38,correlated,a,100,1,0.0,n11
1,Priya,Asian,38,uncorrelated,a,100,1,0.0,n11
1,Priya,Asian,55,correlated,a,100,1,0.0,n11
1,Priya,Asian,55,uncorrelated,a,100,1,0.0,n11
1,Wei,Asian,24,correlated,a,100,1,0.0,n11
1,Wei,Asian,24,uncorrelated,a,100,1,0.0,n11
1,Wei,Asian,38,correlated,a,95,1,0.05,n11
1,Wei,Asian,38,uncorrelated,a,100,1,0.0,n11
1,Wei,Asian,55,correlated,a,100,1,0.0,n11
1,Wei,Asian,55,uncorrelated,a,95,1,0.05,n11
1,Aisha,Black,24,correlated,a,100,1,0.0,n11
1,Aisha,Black,24,uncorrelated,a,100,1,0.0,n11
1,Aisha,Black,38,correlated,a,100,1,0.0,n11
1,Aisha,Black,38,uncorrelated,a,100,1,0.0,n11
1,Aisha,Black,55,correlated,a,100,1,0.0,n11
1,Aisha,Black,55,uncorrelated,a,100,1,0.0,n11
1,Jamal,Black,24,correlated,a,100,1,0.0,n11
1,Jamal,Black,24,uncorrelated,a,100,1,0.0,n11
1,Jamal,Black,38,correlated,a,100,1,0.0,n11
1,Jamal,Black,38,uncorrelated,a,100,1,0.0,n11
1,Jamal,Black,55,correlated,a,100,1,0.0,n11
1,Jamal,Black,55,uncorrelated,a,100,1,0.0,n11
1,Carlos,Hispanic,24,correlated,a,100,1,0.0,n11
1,Carlos,Hispanic,24,uncorrelated,a,100,1,0.0,n11
1,Carlos,Hispanic,38,correlated,a,100,1,0.0,n11
1,Carlos,Hispanic,38,uncorrelated,a,100,1,0.0,n11
1,Carlos,Hispanic,55,correlated,a,100,1,0.0,n11
1,Carlos,Hispanic,55,uncorrelated,a,100,1,0.0,n11
1,Maria,Hispanic,24,correlated,a,100,1,0.0,n11
